,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
104,Pittsburgh,ACC,0.1,0.0,0.0
105,Indiana,Big Ten,0.1,0.0,0.0
106,Minnesota,Big Ten,0.05,0.0,0.0
107,Colorado,Big 12,0.05,0.0,0.0
108,New Mexico,MWC,0.05,0.05,100.0
109,Cincinnati,Big 12,0.05,0.0,0.0
110,Vanderbilt,SEC,0.05,0.0,0.0
111,Baylor,Big 12,0.05,0.0,0.0
112,Georgia Southern,Sun Belt,0.05,0.05,100.0
113,Ball State,MAC,0.05,0.05,100.0
114,Middle Tennessee State,CUSA,0.05,0.05,100.0
